Nome,AVG Time (ns),AVG Comp.,STD Time (ns),STD Comp.
Sequential Search 3000,178620.0,76632.3,89033.22750524098,43760.10731876694
Binary Search 3000,4420.0,537.42,1069.392350823588,308.3061848228154
Linked List Search 3000,317640.0,81826.11,163707.1482862004,46595.40367995431
Binary Search Tree 3000,308120.0,50.5,196798.59145837402,28.86607004772212
Sequential Search 6000,353380.0,146365.27,184404.38064210946,87476.56799427547
Binary Search 6000,4840.0,593.64,1488.086019019062,339.9665430597546
Linked List Search 6000,599310.0,147731.32,343388.7503981457,88572.98767941387
Binary Search Tree 6000,624790.0,50.5,403040.5263742097,28.86607004772212
Sequential Search 9000,485380.0,201986.02,286440.8064504776,123434.07598503584
Binary Search 9000,4790.0,622.59,908.7904048789247,352.53553281903373
Linked List Search 9000,912230.0,237540.11,522695.20477999415,131093.5346757341
Binary Search Tree 9000,941190.0,50.5,595315.7598283453,28.86607004772212
Sequential Search 12000,610470.0,266892.3,326807.4801775504,153201.9909379444
Binary Search 12000,4790.0,633.01,1210.7435731813734,359.20129440189936
Linked List Search 12000,1293350.0,341347.17,682244.7563008454,187311.54302183594
Binary Search Tree 12000,1305210.0,50.5,690887.9546641409,28.86607004772212
Sequential Search 15000,895540.0,395848.78,479457.4521268806,235918.74374176294
Binary Search 15000,5240.0,647.23,2506.4716236175504,368.8995487934351
Linked List Search 15000,1426580.0,378409.68,890060.1685279484,202585.1580400144
Binary Search Tree 15000,1580250.0,50.5,933566.6593768224,28.86607004772212
Sequential Search 18000,1108250.0,484862.08,592390.9752013446,272675.06243471114
Binary Search 18000,5230.0,665.73,1355.3966209195005,378.4905508728058
Linked List Search 18000,1673520.0,419182.45,1078135.9235272703,240433.75276189385
Binary Search Tree 18000,2203350.0,50.5,1141516.0303298417,28.86607004772212
Sequential Search 21000,1238680.0,542437.1,605813.3851277966,312840.98639831383
Binary Search 21000,5210.0,680.43,1185.7065404222076,390.2109751147448
Linked List Search 21000,1942000.0,490134.4,1263024.7107638076,276893.3211836284
Binary Search Tree 21000,2483860.0,50.5,1375362.635961876,28.86607004772212
Sequential Search 24000,1375590.0,581035.08,740236.5850861466,353001.5304533871
Binary Search 24000,5340.0,693.32,907.9647570252934,392.50403513849386
Linked List Search 24000,2387350.0,596696.19,1329830.1423490145,343744.0158024484
Binary Search Tree 24000,2620710.0,50.5,1508561.1840094521,28.86607004772212
Sequential Search 27000,1461760.0,635057.57,763136.8569267245,349043.96580325684
Binary Search 27000,5210.0,700.3,951.7877914745492,403.2070311886934
Linked List Search 27000,2790670.0,734886.72,1499995.8536942694,416184.123543993
Binary Search Tree 27000,3118650.0,50.5,1761629.1458476724,28.86607004772212
Sequential Search 30000,1839510.0,803105.0,884717.8137123723,465663.85206092603
Binary Search 30000,5180.0,701.86,942.1252570651102,400.8364509372869
Linked List Search 30000,2945960.0,750010.56,1664365.1217205918,448953.5064985754
Binary Search Tree 30000,3388880.0,50.5,1832967.4971477264,28.86607004772212
